city,company,company_url,description,district,job_title,job_type,job_url,publication_date,salary
Lima,Aquamed,,REQUISITOS,,Diseñador Gráfico ,Tiempo Completo,https://job-arts.com/detail/25/,,
Lima,Webtilia,,Agencia de marketing digital ubicada en Chorrillos se encuentra en búsqueda de los mejores talentos para el puesto de diseñador (a) gráfico(a),,Diseñador(a) Gráfico(a) ,Tiempo Completo,https://job-arts.com/detail/28/,,
